Rank,NCTId,HealthyVolunteers,Gender,MinimumAge,MaximumAge,EligibilityCriteria
11,NCT03546673,No,Female,18,,Inclusion Criteria:||1) having a breast cancer diagnosis|2) completing primary medical treatment within four years|3) being comfortable writing and speaking Chinese (i.e. Mandarin or Cantonese)
12,NCT03723928,No,All,18,,"Inclusion Criteria:||STEP 1 REGISTRATION||Patients must have a diagnosis of hormone receptor positive (estrogen receptor positive [ER+] and/or progesterone receptor positive [PR+]), HER-2 negative, metastatic (M1) breast cancer and must be receiving or plan to receive first-line systemic treatment for metastatic disease. (Systemic treatment is any treatment meant to treat the whole body such as endocrine therapy +/- targeted therapy +/- chemotherapy).||NOTE: Participants are eligible if they have either de-novo metastatic breast cancer and/or recurrent breast cancer from an earlier stage that is now metastatic|Patients must be registered to step 1 between 14 days prior to and 60 days after start of first-line systemic treatment for metastatic disease||Patients must have been tested for the following breast cancer specific STMs after diagnosis of metastatic disease and within +/-14 days of initiation of first-line systemic treatment for metastatic disease:||CEA (must be tested)|CA 15-3 or CA 27.29 (at least one of these must be tested)|At least one of the tested STMs must have been >= 2 x the institutional upper limit of normal at this time.||Testing all three STMs is encouraged but only two are required. Patients must plan to have the same two STMs tested for the duration that the patient is on protocol-specified disease monitoring.||Patients must have systemic radiographic imaging prior to initiation of systemic therapy or within 30 days of initiation of treatment for metastatic breast cancer and prior to step 1 registration. Modality of imaging is at the discretion of the treating physician.||Note: the treating physician can order additional imaging tests at any point prior to randomization at their discretion|Patients must be willing to obtain disease monitoring (imaging and/or serum tumor markers) from a consistent facility in which the registering site has access to the results for the duration of the study intervention (312 weeks after step 2 randomization). Imaging and STMs do not need to be completed at the same facility.|Patients with known cirrhosis, untreated B12 deficiency, thalassemia, or sickle cell anemia are not eligible as these could cause falsely elevated STM levels|Patients with known brain leptomeningeal metastases are not eligible as they may require regular radiographic monitoring to assess treatment response|Patients must not be currently enrolled or plan to participate in a first-line treatment trial for metastatic breast cancer with a defined monitoring schedule|Patients who are able to complete questionnaires in English or Spanish must participate in patient-reported outcome (PRO) assessments|Patients must not be pregnant due to the potential harm to the fetus from radiation exposure from radiographic imaging|Except for breast cancer (and previous history of breast cancer), no other prior malignancy is allowed except for adequately treated basal (or squamous cell) skin cancer, in situ cervical cancer or other cancer for which the patient has been disease free for five years|Patients must not have received prior systemic therapy for metastatic breast cancer, except for their current line of therapy.|Patients must have decision making capacity and be able to provide informed consent|Patients must be informed of the investigational nature of this study and must sign and give written informed consent in accordance with institutional and federal guidelines; use of legally-authorized representative is not permissible for this study|As a part of the Oncology Patient Enrollment Network (OPEN) registration process the treating institution's identity is provided in order to ensure that the current (within 365 days) date of institutional review board approval for this study has been entered in the system|STEP 2 RANDOMIZATION||Patients must be tested for the breast cancer specific STMs that were tested prior to STEP 1 Registration between 56 and 140 days after initiation of first-line systemic therapy for metastatic disease:||CEA (must be tested)|CA 15-3 or CA 27.29 (whichever was tested prior to Step 1)||Testing all three STMs is encouraged but only two are required. Patients must plan to have the same two STMs tested for the duration that the patient is on protocol-specified disease monitoring.||At least one of the STMs that was previously elevated must have decreased from the assessment at step 1 by >= 10% at this time.|Patients must not have known progression since registration to step 1|Patients must be registered to step 2 randomization between 56 days and 140 days after the initiation of first-line systemic therapy for metastatic disease; This window is inclusive; patients may be registered to Step 2 on day 56 or Day 140. Patients must have been eligible for Step 1 in order to be eligible for Step 2 Randomization|Baseline questionnaires must be completed within 28 days prior to step 2 randomization; (Note: Those patients who cannot complete the PRO questionnaires in English or Spanish can be registered to step 2 without contributing to PRO research)"
13,NCT04829604,No,All,18,,"Inclusion Criteria:||Age ≥ 18 years and older|Life expectancy > 3 months|Eastern Cooperative Oncology Group Performance Status ≤ 1|Metastatic breast cancer subjects previously treated with T DM1, and/or T-DXd, and/or tucatinib-containing regimens.|Presence of at least one measurable lesion per RECIST v 1.1|Subjects must have an adequate tumor sample available for confirmation of HER2 status|Subjects with stable brain metastases|Acute toxicities from any prior therapy, surgery, or radiotherapy must have resolved to Grade ≤1 as per the NCI-CTCAE v 5.0, except alopecia.|Adequate organ functions|Willing and able to understand and sign an informed consent inform and to comply with all aspects of the protocol.|Female subjects must be surgically sterile, or have a monogamous partner who is surgically sterile, or at postmenopausal, or who commits to use an acceptable form of birth control; male subjects must be sterile (biologically or surgically) or commit to the use of a reliable method of birth control||Exclusion Criteria:||Any subject who meets any of the following criteria is excluded from the study:||History of allergic reactions to any component of ARX788.|Prior history of interstitial lung disease, pneumonitis, or other clinically significant lung disease within 12 months|History of ocular events, or any current ongoing active ocular infections.|History of congestive heart failure, unstable angina pectoris, unstable atrial fibrillation, or cardiac arrhythmia within 12 months prior to enrollment|Grade 3 to 4 peripheral neuropathy (NCI CTCAE v 5.0). Patients with Grade 2 neuropathy can be enrolled at investigator's discretion.|History of unstable central nervous system (CNS) metastases|Current severe, uncontrolled systemic disease (eg, clinically significant cardiovascular, pulmonary, or metabolic diseases)|Any uncontrollable intercurrent illness, infection (including subjects with active, symptomatic Covid-19 infections), or other conditions that could limit study compliance or interfere with assessments.|Exposure to any other investigational or commercial anticancer agents or therapies administered with the intention to treat malignancy within 14 days before the first dose of ARX788.|Clinically significant surgical intervention (excluding diagnostic biopsy) within 21 days of the first dose of ARX788|Radiotherapy administered less than 21 days prior to the first dose of ARX788, or localized palliative radiotherapy administered less than 7 days prior to the first dose of ARX788, or radiotherapy-induced toxicity of Grade 2 or greater based on NCI-CTCAE v 5.0.|Pregnancy or breast feeding.|Known active HCV, HBV, and/or HIV infection."
14,NCT04597580,No,All,18,,"Inclusion Criteria:||Advanced breast cancer|ER-positive/HER2-negative|For patients who have had a prior non-breast malignancy within the last 5 years (excluding in situ carcinoma of the cervix and basal cell carcinoma of the skin) biopsy of a metastatic site is required to confirm the diagnosis of metastatic ER+/HER2- breast cancer.|Eligible for 1st line endocrine therapy with an aromatase inhibitor and a CDK4/6 inhibitor|Eastern Cooperative Oncology Group (ECOG) Performance Status (PS) 0-2|Age ≥ 18 years|Life expectancy > 3 months|Radiologically assessable disease||Exclusion Criteria:||Known central nervous system (CNS) metastases, carcinomatous meningitis or leptomeningeal disease unless treated with radiotherapy and symptomatically stable at least 2 weeks after discontinuation of steroids|Concurrent disease(s) or familial, sociological or geographical condition that would, in the investigator's opinion, preclude compliance with study procedures|Any serious medical disorder that would compromise the patient's safety|Dementia, altered mental status, or any psychiatric condition that would prevent the understanding or rendering of Informed Consent"
15,NCT04697043,No,Female,18,90,"Inclusion Criteria:||Primary confirmed distant metastatic breast cancer (M1); A histologically proven diagnosis of the breast tumor; A known hormonal and HER2Neu status; Having TNM classification: T1-T3, resectable T4 status, and N0-N3; - performance status and comorbidity should allow surgery and/or systemic therapy; Accepting the surgery by written informed consent.||Exclusion criteria are:||No confirmed primary invasive breast cancer in the medical history Having another malignancy within the last 10 years, besides basal cell carcinoma of the skin or early-stage cervical cancer Having the history of surgical treatment and/or radiotherapy of the breast tumor before randomization Having irresectable T4 breast tumor Having synchronous bilateral breast cancer.||-"
16,NCT03915548,No,Female,18,,"Inclusion Criteria:||Age of 18 years or older.|Experiencing reduced participation (i.e., a score greater than or equal to 10 on the Work and Social Adjustment Scale).|Females diagnosed with Stage 1-3 breast cancer and within one year of completion of locoregional treatment and/or chemotherapy with curative intent and absence of disease recurrence||Exclusion Criteria:||Non-English speaking.|Non-correctable hearing loss.|Moderate-severe cognitive impairment indicated by a score < 3 on a 6-item cognitive screener.|History of severe mental illness (i.e., schizophrenia, bipolar disorder), current major depressive disorder, active suicidal ideation, or active substance misuse documented within the medical record."
17,NCT01626950,No,Female,,,"Inclusion Criteria (for cases):||Patient has been correctly informed about the study, and agrees to participate|The patient must be insured or beneficiary of a health insurance plan|Incident breast cancer cases (diagnosis based on pathology) excluding sarcoma, classifiable as stage III-IV, surgical cases||Inclusion Criteria (for controls):||Patient has been correctly informed about the study, and agrees to participate|The patient must be insured or beneficiary of a health insurance plan|Incident breast cancer cases (diagnosis based on pathology) excluding sarcoma, classifiable as stage I-II, surgical cases||Exclusion Criteria (for cases and controls):||The patient is in an exclusion period determined by a previous study|The patient is under judicial protection, under tutorship or curatorship|The patient is pregnant, parturient, or breastfeeding|The patient is opposed to study participation|Women not able to answer a questionnaire due to language barriers or due to vascular or degenerative cerebral dysfunction|It is impossible to correctly inform the patient"
18,NCT00200174,No,Female,18,,"Inclusion Criteria:||Postmenopausal women with a history of AJCC Stage 0, I, II or III breast cancer, with no clinical evidence of disease, after completion of all planned adjuvant therapy. Patients must not have received anti-estrogen therapy as part of their adjuvant treatment. Patients with a history of invasive ER- and/or PR-positive breast cancer are eligible only if they have not received an anti-estrogen as part of adjuvant therapy, and they are at least 2 years from the time of their primary surgery.|Patients must have completed all planned adjuvant therapy, including surgery, chemotherapy, and radiation therapy, at least 4 weeks prior to treatment. There is no limit as to the amount of time that may have passed since completion of adjuvant therapy and initiation of treatment.||Patients must be postmenopausal, as defined by either:||No spontaneous menses for at least 5 years; women who have had a hysterectomy in this group, but have intact ovaries must have luteinizing hormone (LH) and follicle-stimulating hormone (FSH) levels within the postmenopausal range|Spontaneous menses within the past 5 years, but amenorrheic (e.g. spontaneous or secondary to chemotherapy, radiation therapy or hysterectomy) for at least 12 months, and luteinizing hormone (LH) and follicle-stimulating hormone (FSH) levels within the postmenopausal range|Bilateral oophorectomy|Patients must have a history of breast cancer confirmed by the Department of Pathology at Memorial Sloan-Kettering Cancer Center.|Patients must be at least 18 years old, and must be able to give written informed consent.|Karnofsky performance status > 80%.|Laboratory parameters:||WBC =>3.0 x 106 cells/ml serum bilirubin <= 1.5 mg/dl serum creatinine <= 1.5 mg/dl serum AST (SGOT) <= 2x upper institutional normal CEA and CA15-3 within institutional normal limits||Exclusion Criteria:||Prior history of bilateral mastectomy.|Prior history of ovarian or endometrial cancer.|Prior or current history of osteoporosis, as defined by a lumbar-spine bone mineral density < 2.5 SD below the mean value for normal premenopausal women.|Use of bisphosphonates or calcitonin within the past 3 months.|Prior history of venous thrombosis or pulmonary embolism.|Patients with unstable angina or New York Heart Association Class III or IV heart disease.|Prior hormonal therapy within the past 3 months."
19,NCT04973319,No,Female,18,75,"Inclusion Criteria:||Female patients aged ≥ 18 but ≤ 75 years (The maximal age of the subjects enrolled in the Phase 3 study of pyrotinib is 75 years old, and there is no safety data for the use of the drug in older people);|ECOG level 0-1;|Primary infiltrating breast lesions and lymph nodes should follow these conditions at the same time: histologically confirmed invasive breast cancer; receiving neoadjuvant treatment and completing the operation, with postoperative pathological examination indicating residual invasive cancer in the breast or axillary lymph nodes; HER2-positive breast cancer is confirmed in the pathology test, with 3+ in immunohistochemistry (IHC) test and HER2 gene amplification (HER2/CEP17 ≥ 2.0 or average HER2 copy number/cell number ≥ 6); no recurrent and metastatic disease after surgery;|HER-2 positive breast cancer patients who have non-pCR after trastuzumab+pertuzumab as neoadjuvant therapy, and have completed trastuzumab combined with pertuzumab as adjuvant treatment. During the neoadjuvant and/or adjuvant therapy phase, at least ≥24 weeks (8 drug delivery cycles) of trastuzumab + pertuzumab. And the time interval from the end of the last trastuzumab treatment to entering the trial must be ≤ 1 year;|Hormone receptor status (ER and PR) that is known;|The functional level of major organs must conform to the following requirements (no blood transfusion, no use of white blood cell- and platelet-increasing drugs within 2 weeks before screening): Neutrophils (ANC) ≥ 1.5×109/L; Platelet count (PLT) ≥ 90×109/L; Hemoglobin (Hb) ≥ 90 g/L; Total bilirubin (TBIL)≤ 1.5×upper limit of normal (ULN); Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤ 1.5×ULN;|Female patients who are not menopausal or not surgically sterilized agree to abstain from sex or use effective non-hormonal drugs for contraception during the treatment period and within 8 weeks after the last administration;|Patients who participate in the trial voluntarily, sign an informed consent, have good compliance and are willing to comply with the follow-up visit.||Exclusion Criteria:||With a history of recurrent local or regional breast disease;|Stage IV (metastatic) breast cancer;|Bilateral breast cancer;|With a history of any malignancies other than breast cancer in the past 5 years, excluding cured cervical carcinoma in situ, skin basal cell carcinoma or squamous cell carcinoma;|Patients who have received pyrotinib, lapatinib, neratinib or other tyrosine kinase inhibitors, enmetrastuzumab (T-DM1), and other anti-tumor biological therapies or tumor immunotherapy;|Patients who are receiving anti-tumor therapy in other clinical trials, including endocrine therapy, bisphosphonate therapy or immunotherapy;|Severe heart disease or discomfort, including but not limited to the following diseases: a confirmed history of heart failure or systolic dysfunction (LVEF < 50%); high-risk uncontrolled arrhythmia, such as atrial tachycardia, remarkable ventricular arrhythmia (such as ventricular tachycardia) or higher-grade atrioventricular block; angina pectoris requiring anti-angina medication; clinically significant valvular disease; transmural myocardial infarction shown by ECG; uncontrolled blood pressure in patients with hypertension who have been given antihypertensive drugs (systolic blood pressure > 180 mmHg and/or diastolic blood pressure > 100 mmHg);|Inability to swallow, intestinal obstruction or other factors that affect drug taking and absorption;|With a history of diagnosed neurological or mental disorders, including involuntary behavior or mental illness;|With a history of gastrointestinal diseases with diarrhea as the main symptom;|Patients who are known to have a history of allergies to the drug components in this trial; have a history of immunodeficiency, including HIV positive results, or other acquired or congenital immunodeficiency diseases; or have a history of organ transplantation;|Female patients during pregnancy and lactation, or those who are fertile and positive for baseline pregnancy test;|Serious concomitant diseases or other comorbid diseases that will interfere with the planned treatment, including infectious diseases with active infections (including but not limited to hepatitis B, active hepatitis C, active tuberculosis, active syphilis, etc.); or any other cases in which the investigator believes that the patient cannot participate in the trial."
20,NCT02119481,No,Female,18,,Inclusion Criteria:||Breast cancer patient ≥ 18 years of age who has received the cancer diagnosis ≤ 2 years previously|Access and regular use of the internet||Exclusion Criteria:||Non Swedish speaking|Previous sever psychiatric illness
21,NCT04588935,No,Female,,,"Inclusion Criteria:||women with breast cancer, with a morphologically confirmed diagnosis before the appointment of anticancer therapy.||Exclusion Criteria:||presence of other oncological diseases"
22,NCT03707340,No,Female,21,,"Inclusion Criteria:||Women age 21 and older|Able to swallow tablets|History of stage 0-III breast cancer that is estrogen and/or progesterone receptor positive|History of breast cancer with no current evidence of disease and have completed primary treatment with any combination of surgery, radiation and/or chemotherapy at least 3 months ago and is currently on Tamoxifen, an AI, or ovarian suppression.|Has been taking tamoxifen, an AI, ,or ovarian suppression for at least 3 months.|Has LFTS within 2 times the upper limit of normal proven by a Comprehensive Metabolic Panel (CMP) performed within 6 months of protocol enrollment and while the patient was on Tamoxifen, an AI, or ovarian suppression|Patients meet criteria for the diagnosis of HSDD as defined by the DSM-IV and ISSWSH Consensus paper. The criteria states that there must be a decrease in sexual desire and this must be a change for at least 3 months from what it was previously. Personal distress resulting from this change must occur. Initial screening will take place with The Decreased Sexual Desire Screener, a 5-question screening tool developed and validated to aid clinicians in making the diagnosis of HSDD. A ""yes"" response to the first 4 questions on the screener is consistent with HSDD.|Patients must agree to follow the guidelines for alcohol consumption during the 24 weeks of treatment on study|English speaking|Able to participate in the informed consent process||Exclusion Criteria:||Active secondary cancer requiring cytotoxic chemotherapy|History or current diagnosis of metastatic breast cancer.|Unwillingness to follow alcohol guidelines while taking flibanserin|Hepatic dysfunction (more than 2 times the upper limit of normal for alt, ast, t.bili or alk phos) proven by Comprehensive Metabolic Panel (CMP) performed within 6 months of protocol enrollment and while the patient was on Tamoxifen or an AI|Patients on strong CYP3A4 inhibitors including ketoconazole, itraconazole, posaconazole, clarithromycin, nefazodone, ritonavir, saquinavir, nelfinavir, indinavir, boceprevir, telaprevir, telithromycin, conivaptan|Patients on moderate CYP3A4 inhibitors including Amprenavir, atazanavir, ciprofloxacin, diltiazem, erythromycin, fluconazole, fosamprenavir, verapamil, grapefruit juice|Non-English speaking|Unable to participate in the informed consent process"
23,NCT02480933,No,All,40,,Inclusion Criteria:||Female and male cadavers above 40 years||Exclusion Criteria:||Known breast cancer|Breast tissue accidental damage
24,NCT02411656,No,All,18,,"Inclusion Criteria:||Is willing and able to provide written informed consent for the trial|Has histological confirmation of HER2 normal breast carcinoma with a clinical diagnosis of IBC based on presence of inflammatory changes in the involved breast, including diffuse erythema and edema (peau d'orange), with or without an underlying palpable mass involving the majority of the skin of the breast; pathological evidence of dermal lymphatic invasion should be noted but is not required for diagnosis of inflammatory breast cancer regardless estrogen receptor (ER)/progesterone receptor (PR) status; OR has histological confirmation of triple negative breast carcinoma (HER2 normal, ER/PR < 10%) without clinical diagnosis of IBC|Has stage IV or recurrent disease that has been treated|Has clinical response or stable disease for minimum of two months (three cycles of every three week chemotherapy or 8 weeks of weekly regimen, etc.) after receiving any prior chemotherapy for metastatic/recurrent disease; a minimum of two cycles (6-8 weeks) of chemotherapy is required to determine clinical response; per Response Evaluation Criteria in Solid Tumors (RECIST) criteria 1.1, clinical response for measurable disease is defined as complete response (CR) or partial response (PR); for non-measurable disease only (i.e. bone metastasis, ascites, pleural effusion, and pathological lymph nodes >= 10 to < 15 mm short axis) is defined as persistence of one or more non-target lesion(s) and no increase in overall tumor burden|Is HER2 normal, defined as HER2 0 or 1+ by immunohistochemistry (IHC) and negative by fluorescence in situ hybridization (FISH) if performed; or HER2 is 2+ by IHC and negative by FISH; or HER2 negative by FISH if IHC is not performed|Has a performance status of 0-1 on the Eastern Cooperative Oncology Group (ECOG) performance scale|Absolute neutrophil count (ANC) >= 1,500/mcL|Platelets >= 100,000 /mcL|Hemoglobin (Hgb) >= 9 g/dL|Creatinine levels < 1.5 x upper limit of normal (ULN)|Total bilirubin =< 1.5 x ULN|Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) =< 2.5 x ULN or =< 5 x ULN for subjects with liver metastases||Subjects of childbearing potential should be willing to use effective methods of birth control or be surgically sterile, or abstain from heterosexual activity for the course of the study through at least 4 months after the last dose of study drug; subjects of childbearing potential are those who have not been surgically sterilized or have not been free from menses for > 1 year; effective methods of birth control include:||Use of hormonal birth control methods: pills, shots/injections, implants (placed under the skin by a health care provider), or patches (placed on the skin)|Intrauterine devices (IUDs)|Using 2 barrier methods (each partner must use 1 barrier method) with a spermicide; males must use the male condom (latex or other synthetic material) with spermicide; females must choose either a diaphragm with spermicide, or cervical cap with spermicide, or a sponge (spermicide is already in the contraceptive sponge)|Has negative serum or urine pregnancy test for subjects of childbearing potential||Exclusion Criteria:||Is currently participating in a study of an investigational anti-cancer agent|Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy|Has not recovered from adverse events due to prior therapies, i.e. monoclonal antibody, chemotherapy, targeted small molecule therapy, radiation therapy, or surgery; (Note: subjects with grade 2 neuropathy, alopecia and general disorders and administration site conditions [per Common Terminology Criteria for Adverse Events (CTCAE) version 4.0] are an exception to this criterion and may qualify for the study)|Has a known malignancy (other than breast cancer) except basal cell carcinoma or squamous cell carcinoma of the skin, or in situ cervical cancer that has undergone potentially curative therapy|Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis; subjects with previously treated brain metastases may participate if they are stable, and have no evidence of new or enlarging brain metastases, and are not using steroids for at least 7 days prior to trial treatment|Has an active autoimmune disease requiring systemic treatment within the past 3 months or a documented history of clinically severe autoimmune disease, or a syndrome that requires systemic steroids or immunosuppressive agents; subjects with vitiligo or resolved childhood asthma/atopy would be an exception to this rule; subjects that require intermittent use of bronchodilators or local steroid injections would not be excluded from the study; subjects with hypothyroidism stable on hormone replacement or Sjogren's syndrome will not be excluded from the study|Has a history of (non-infectious) pneumonitis that required steroids or current pneumonitis|Has an active infection requiring systemic therapy|Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial|Has received prior therapy with PD-1, anti-PD-L1, anti-PD-L2, anti-CD137, or anti-cytotoxic T-lymphocyte-associated antigen-4 (CTLA-4) antibody (including ipilimumab or any other antibody or drug specifically targeting T-cell co-stimulation or checkpoint pathways) within 3 months|Has a known history of human immunodeficiency virus (HIV)|Has a known active hepatitis B or hepatitis C|Have received a live vaccine within 30 days prior to the first dose of trial treatment|Is receiving concurrent anti-cancer therapy for metastatic disease"
